0
'dietary'
'easy'
'main-dish'
'60-minutes-or-less'
'vegetables'
'30-minutes-or-less'
'15-minutes-or-less'
'healthy'
'low-cholesterol'
'low-calorie'
'vegetarian'
'3-steps-or-less'
'5-ingredients-or-less'
'holiday-event'
'fruit'
'american'
'lunch'
'for-1-or-2'
'low-fat'
'for-large-groups'
'seafood'
'salads'
'breakfast'
'asian'
'pasta'
'summer'
'cakes'
'spicy'
'christmas'
'picnic'
'fall'
'winter'
'italian'
'high-protein'
